"portfolio_name","code","name","in_date","in_weight","today_date","today_weight","period_ret","Date","close"
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150302,7.0027
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150302,27.7582
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150302,38.0334
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150302,20.2297
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150302,54.8853
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150302,25.65
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150302,23.9884
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150302,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150302,123.725
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150303,27.4248
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150303,7.1361
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150303,30.5887
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150303,38.1135
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150303,20.2297
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150303,54.648
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150303,26.15
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150303,23.9884
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150303,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150303,124.9705
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150304,27.3182
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150304,7.2278
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150304,28.5031
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150304,37.9934
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150304,20.2297
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150304,55.9134
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150304,25.8
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150304,23.6457
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150304,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150304,124.9705
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150305,27.3537
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150305,7.4029
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150305,26.8147
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150305,37.7532
